id,date,type,feature_type,feature_subtype,description,lat,lon
4,2021-05-27T22:34:00Z,incident,near-miss,vehicle-turning-head-on,Running down the sidewalk on Helmcken. Car didn't appear to be stopping as it approached the stop sign coming off of Midwood (or was going to make a rolling stop)- vegetation blocking it's view of the sidewalk. Scared both of us.,48.4590187245312,-123.43450816985533
7,2021-05-29T19:46:42Z,incident,near-miss,vehicle-turning-right,Right-turning motorist failed to yield to me as I was walking straight through the crosswalk.,48.43367421304487,-123.31647184986963
8,2021-05-31T17:54:58Z,amenity,sidewalk,NA,Really inconvenient to go around this section.,49.28864876057679,-123.03963797430524
16,2021-06-04T17:31:46Z,incident,near-miss,vehicle-from-behind,"Many people on sidewalk, very narrow with light polls, bus passed super close and honked.",49.281230111477115,-123.03601836173294
17,2021-06-04T21:35:00Z,amenity,transit,NA,A marked crosswalk is needed to access the bus stops,49.263619966888186,-123.19390148160781
18,2021-06-04T21:35:00Z,amenity,sidewalk,NA,No sidewalk - only a narrow shoulder for pedestrians to walk along.,49.14891508539663,-123.08064299530385
19,2021-06-05T22:11:58Z,incident,near-miss,vehicle-turning-left,I was crossing the street and a driver turn left on me. I had to stop walking to avoid him/her.,45.45462121464242,-73.56788408613846
27,2021-07-12T16:53:56Z,hazard-concern,side walk infrastructure issue,obstruction - vegetaion that narrows pathway,Blackberry bushes growing onto the sidewalk.,48.45839072565364,-123.40943397990753
28,2021-07-20T22:50:10Z,amenity,stop sign,NA,No stop sign,48.42586957403382,-123.35070081481933
29,2021-07-21T23:39:35Z,hazard-concern,side walk infrastructure issue,too narrrow,Way too narrow.,48.45061425898155,-123.42495342281683
30,2021-07-23T00:37:16Z,hazard-concern,safety/comfort concern,other,Litter and garbage cans take up the sidewalk and the streets are somewhat dirty even after the passage of the garbage truck/cleaner truck,45.53014196100204,-73.71854254376377
31,2021-07-23T14:35:47Z,incident,near miss,cyclist,A high speed cyclist did not brake while crossing an intersection and did not announced himself whil approaching me,45.5416911447059,-73.61261134024981
32,2021-07-23T15:47:55Z,hazard-concern,safety/comfort concern,vehicles - number makes uncomfortable,There is too many cars that are unpredictably circulating in search of a parking spot,45.53524947524152,-73.6158084386362
33,2021-05-19T17:30:00Z,incident,near miss,vehicle turning head-on,Cars not letting people. Ross the road because they are in a hurry to turn,45.527991840945575,-73.57205573710274
34,2021-08-03T00:05:21Z,amenity,stop sign,NA,No stop sign,48.440590634277626,-123.47695775756834
36,2021-08-03T00:06:30Z,amenity,benches,NA,No bench,48.418628649308204,-123.47102427520753
38,2021-08-03T00:06:30Z,amenity,wayfinding signs,NA,No signs,48.416525071915856,-123.47538529678339
40,2021-05-12T17:15:00Z,hazard-concern,side walk infrastructure issue,obstruction - parked vehicles or delivery vans,Amazon delivery van parks on sidewalk and bike lane here.,48.45834215455923,-123.41028003712987
64,2021-08-25T18:25:17Z,amenity,sidewalk,NA,No sidewalk,49.250441269411596,-123.08776819385355
66,2021-09-01T20:02:08Z,amenity,traffic or pedestrian signal,NA,No half signal. Very hard to cross hastings,49.28110451573338,-123.02094675481948
132,2021-09-01T20:02:08Z,hazard-concern,crossing issue,signal - wait time to cross too long,Too long,49.28353905020643,-123.0314077403692
134,2021-09-02T04:12:13Z,amenity,marked crosswalk,NA,Marked crosswalk previously existed at this location. ,48.43884826883063,-123.50948786930303
136,2021-09-02T04:15:01Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,Lack of marked crossing,48.437237895042365,-123.50736317945635
138,2021-08-01T16:30:00Z,incident,near miss,vehicle turning left,There is no advance turn signal for left hand turns. ,48.43316031271477,-123.52484116564057
140,2021-09-02T04:23:08Z,hazard-concern,safety/comfort concern,vehicles - speed makes uncomfortable,Lack of separation and allocation of road space for pedestrians. No traffic calming measures in place ,48.42806139666097,-123.4601435569923
142,2021-09-02T04:23:08Z,amenity,wayfinding signs,NA,Cut through to neighborhood area with safe street environments.,48.43479464667067,-123.45572557225928
144,2021-09-02T14:48:59Z,hazard-concern,side walk infrastructure issue,"obstruction - uneven sidewalk (eg. roots, holes, cracks)",Sidewalk is in poor repair. ,45.66105593588363,-72.13951854354161
154,2021-09-04T01:00:56Z,hazard-concern,crossing issue,crosswalk needed,Blind crossing with cars and vegetation blocking visibility. No paint markings.,48.419603364673186,-123.53522582141669
156,2021-09-04T01:00:56Z,hazard-concern,safety/comfort concern,other,Blind and wide intersection crossing with overgrown vegetation. fast  turning vehicles.,48.41919708522599,-123.5330554223203
158,2021-09-04T01:00:56Z,hazard-concern,crossing issue,poor visibility of pedestrians,Lack of marked crossing and overgrown vegetation ,48.42481484575257,-123.53286156476037
162,2021-06-10T01:00:00Z,incident,hit by,vehicle turning head-on,Car did not see runner as they were crossing,48.41966398787162,-123.5352336091476
164,2021-09-04T01:00:56Z,hazard-concern,crossing issue,drivers don't stop or yield to pedestrians,School zone,48.425453706889655,-123.40819938098326
166,2021-09-06T18:16:08Z,amenity,sidewalk,NA,"Hundreds of students, families and children walk on this section of road regularly to get to the schools and recreation amenities in the Rutland Recreation Park and as it is there is no sidewalk or street lights",49.89542392008447,-119.38228403280584
168,2021-09-06T22:54:24Z,hazard-concern,side walk infrastructure issue,obstruction - inadequate or lack of safe detour for pedestrians,Construction of car dealership blocks sidewalk - no sidewalk available on the other side of the road. Alternate route is too steep to use a wheelchair safely on. ,48.444053017617605,-123.49774021626263
172,2021-09-14T21:51:07Z,amenity,sidewalk,NA,There's a wonderful little cut-through here to Benjamin but it's in a blind corner with no sidewalk along this side of Burnside. Difficult to access safely.,48.46329734853419,-123.41213513391006
